"outlet_avg_temp-rfile"
"Iteration" "outlet_avg_temp"
("Iteration" "outlet_avg_temp")
4 336.4952239514053
8 336.4967989077571
12 336.4735704885922
16 336.4529280603666
20 336.4321984917981
24 336.4070724447643
28 336.3740765985792
32 336.3290184666661
36 336.2830686460175
40 336.2530861772494
44 336.2403897534259
48 336.2383577345795
52 336.236871783478
56 336.2336632390778
60 336.2295763391892
64 336.2256717069134
68 336.2225366725938
