"outlet_avg_vel-rfile"
"Iteration" "outlet_avg_vel"
("Iteration" "outlet_avg_vel")
1 21.697026677569
2 21.73410543506125
3 21.74604766608311
4 21.74585237249304
5 21.75371938205885
6 21.75254903579673
7 21.75176395151456
8 21.7510722842376
9 21.75186357033619
10 21.75353461190787
11 21.75508612462495
12 21.75687986719423
13 21.7577093746393
14 21.7583210480946
15 21.75933076338085
16 21.7609165464556
17 21.76180399220686
18 21.76268869266028
19 21.76381003748774
20 21.76505031475286
21 21.76597230154555
22 21.76666340755837
23 21.76744189070537
24 21.767912432706
25 21.76820196677
26 21.76782420151891
27 21.76785446192586
28 21.76836756908575
29 21.76977025890196
30 21.77064556051645
31 21.77164462741814
32 21.77236678181216
33 21.77300339071624
34 21.77343018479865
35 21.77414580880806
36 21.77477110838975
37 21.77593497842782
38 21.77714816369102
39 21.77829500943822
40 21.77937811864009
41 21.7803760060779
42 21.78143309460305
43 21.78248592943712
44 21.78350355386629
45 21.78451634224882
46 21.78545415025934
47 21.78621680971195
48 21.7868797294305
49 21.78751695926669
50 21.78811656852354
51 21.78865860193847
52 21.78915592339542
53 21.78961165044207
54 21.79003515986405
55 21.79042495522738
56 21.79077138304969
57 21.79106384406498
58 21.791302724974
59 21.79149425032725
60 21.79163988361248
61 21.79174190733665
62 21.79181857402366
63 21.79188774993634
64 21.79194431874985
65 21.79198340022661
66 21.79200792045956
67 21.79202438451905
68 21.7920403714812
