
[Name]
inlet big

[Data]
X [ m ], Y [ m ], Z [ m ]
-2.03199998e-01, -1.20501161e-01, 1.10255722e-02
-2.03199998e-01, -1.24546200e-01, 9.78792924e-03
-2.03199998e-01, -1.15811683e-01, 1.69806536e-02
-2.03199998e-01, -1.13278411e-01, 9.38816089e-03
-2.03199998e-01, -1.16069742e-01, 7.77546735e-03
-2.03199998e-01, -1.27229661e-01, 2.58283387e-03
-2.03199998e-01, -1.15384124e-01, 2.38950690e-03
-2.03199998e-01, -1.19103290e-01, -2.25970754e-03
-2.03199998e-01, -1.24661297e-01, -1.92392222e-03
-2.03199998e-01, -1.12303436e-01, 1.58795947e-03
-2.03199998e-01, -1.12856053e-01, -6.07318850e-03
-2.03199998e-01, -1.16044916e-01, -6.66138530e-03
-2.03199998e-01, -1.28912702e-01, -8.14036094e-03
-2.03199998e-01, -1.17193438e-01, -1.17721874e-02
-2.03199998e-01, -1.21764801e-01, -1.46465097e-02
-2.03199998e-01, -1.26731873e-01, -1.31736845e-02
-2.03199998e-01, -1.14816897e-01, -1.34294918e-02
-2.03199998e-01, -1.18083805e-01, -2.02739649e-02
-2.03199998e-01, -1.20907336e-01, -1.96350198e-02
-2.03199998e-01, -1.31930918e-01, -2.00832393e-02
-2.03199998e-01, -1.23993106e-01, -2.38813926e-02
-2.03199998e-01, -1.28911152e-01, -2.45390311e-02
-2.03199998e-01, -1.22532286e-01, -2.63999216e-02
-2.03199998e-01, -1.28020018e-01, -3.16091813e-02
-2.03199998e-01, -1.30319983e-01, -2.98167225e-02
-2.03199998e-01, -1.37147307e-01, -1.95073038e-02
-2.03199998e-01, -1.34835437e-01, -3.25030088e-02
-2.03199998e-01, -1.39936164e-01, -3.08794845e-02
-2.03199998e-01, -1.42066702e-01, -2.53608748e-02
-2.03199998e-01, -1.34448469e-01, -3.57548520e-02
-2.03199998e-01, -1.41619220e-01, -3.86584438e-02
-2.03199998e-01, -1.43290043e-01, -3.60439979e-02
-2.03199998e-01, -1.49076745e-01, -2.37929039e-02
-2.03199998e-01, -1.48436695e-01, -3.71995531e-02
-2.03199998e-01, -1.51398093e-01, -3.48186232e-02
-2.03199998e-01, -1.52496085e-01, -2.70746555e-02
-2.03199998e-01, -1.49361745e-01, -4.01244946e-02
-2.03199998e-01, -1.90471739e-01, -3.32032815e-02
-2.03199998e-01, -1.89340353e-01, -3.28691341e-02
-2.03199998e-01, -1.81610584e-01, -3.98994274e-02
-2.03199998e-01, -1.82658106e-01, -4.04521301e-02
-2.03199998e-01, -1.80380613e-01, -3.92250642e-02
-2.03199998e-01, -1.88004404e-01, -3.24540474e-02
-2.03199998e-01, -1.93936870e-01, -2.44345218e-02
-2.03199998e-01, -1.95311248e-01, -2.46165376e-02
-2.03199998e-01, -1.96470514e-01, -2.47562379e-02
-2.03199998e-01, -1.78944126e-01, -3.83994654e-02
-2.03199998e-01, -1.86433211e-01, -3.19346674e-02
-2.03199998e-01, -1.92312211e-01, -2.41941065e-02
-2.03199998e-01, -1.77276433e-01, -3.73873040e-02
-2.03199998e-01, -1.84593573e-01, -3.12825888e-02
-2.03199998e-01, -1.90398186e-01, -2.38753259e-02
-2.03199998e-01, -1.75354779e-01, -3.61451507e-02
-2.03199998e-01, -1.82451680e-01, -3.04615106e-02
-2.03199998e-01, -1.88152835e-01, -2.34513432e-02
-2.03199998e-01, -1.52826428e-01, -5.05153574e-02
-2.03199998e-01, -1.52375028e-01, -4.94277105e-02
-2.03199998e-01, -1.42091468e-01, -4.83231880e-02
-2.03199998e-01, -1.42232031e-01, -4.94835377e-02
-2.03199998e-01, -1.41949028e-01, -4.69518788e-02
-2.03199998e-01, -1.51866183e-01, -4.81339619e-02
-2.03199998e-01, -1.61885679e-01, -4.72193621e-02
-2.03199998e-01, -1.62699655e-01, -4.83553000e-02
-2.03199998e-01, -1.63406014e-01, -4.93034385e-02
-2.03199998e-01, -1.41812786e-01, -4.53364700e-02
-2.03199998e-01, -1.51300862e-01, -4.65985201e-02
-2.03199998e-01, -1.60956576e-01, -4.58595902e-02
-2.03199998e-01, -1.41697004e-01, -4.34409864e-02
-2.03199998e-01, -1.50685027e-01, -4.47814092e-02
-2.03199998e-01, -1.59908146e-01, -4.42344509e-02
-2.03199998e-01, -1.41625687e-01, -4.12278436e-02
-2.03199998e-01, -1.50032967e-01, -4.26385365e-02
-2.03199998e-01, -1.58742771e-01, -4.22962792e-02
-2.03199998e-01, -1.02165163e-01, 5.35846408e-03
-2.03199998e-01, -1.03231519e-01, 4.88671148e-03
-2.03199998e-01, -1.05293043e-01, 1.49714602e-02
-2.03199998e-01, -1.04387060e-01, 1.57174747e-02
-2.03199998e-01, -1.06377721e-01, 1.41094299e-02
-2.03199998e-01, -1.04497448e-01, 4.34894860e-03
-2.03199998e-01, -1.04661889e-01, -5.53257205e-03
-2.03199998e-01, -1.03303857e-01, -5.38183050e-03
-2.03199998e-01, -1.02153197e-01, -5.24188345e-03
-2.03199998e-01, -1.07677348e-01, 1.31252510e-02
-2.03199998e-01, -1.05998367e-01, 3.74766067e-03
-2.03199998e-01, -1.06259868e-01, -5.68472734e-03
-2.03199998e-01, -1.09230503e-01, 1.20112756e-02
-2.03199998e-01, -1.07771762e-01, 3.08320089e-03
-2.03199998e-01, -1.08132876e-01, -5.83188934e-03
-2.03199998e-01, -1.11080229e-01, 1.07626682e-02
-2.03199998e-01, -1.09858021e-01, 2.35703983e-03
-2.03199998e-01, -1.10318549e-01, -5.97002637e-03
-2.03199998e-01, -1.08717680e-01, 2.53804587e-02
-2.03199998e-01, -1.09408438e-01, 2.44260840e-02
-2.03199998e-01, -1.15415171e-01, 3.28305252e-02
-2.03199998e-01, -1.14963114e-01, 3.39238569e-02
-2.03199998e-01, -1.15973741e-01, 3.15472893e-02
-2.03199998e-01, -1.10245526e-01, 2.33135335e-02
-2.03199998e-01, -1.16668552e-01, 3.00501063e-02
-2.03199998e-01, -1.11263335e-01, 2.20273715e-02
-2.03199998e-01, -1.17533050e-01, 2.83131748e-02
-2.03199998e-01, -1.12499274e-01, 2.05508322e-02
-2.03199998e-01, -1.18608311e-01, 2.63121575e-02
-2.03199998e-01, -1.13997102e-01, 1.88698526e-02
